Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Nhà riêng	Nha Trang Homestay Vy House - 6 phòng ngủ	12 khách · 6 Phòng ngủ · 4 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Nhà riêng	MEGI HOMESTAY - PRIVATE ROOM FOR GROUP OF 10	10 khách · 1 Phòng ngủ · 6 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Nha Trang Homestay - NB	4 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	studio ánh sáng	4 khách · 2 Phòng ngủ · 1 phòng tắm	965,212₫/đêm 1,072,458₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	NEW★Cheap★Low Cost 2BR FLAT@ NHATRANG	4 khách · 2 Phòng ngủ · 2 phòng tắm	412,999₫/đêm 589,999₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	All Seasons Two Bedroom	4 khách · 2 Phòng ngủ · 2 phòng tắm	524,313₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Vintage Two Bedroom Condo	4 khách · 2 Phòng ngủ · 2 phòng tắm	595,810₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	MEGI HOMESTAY - WINDY 1 - private room for 2	3 khách · 1 Phòng ngủ · 1 phòng tắm	260,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Blu One Awesome and very central studio #2	2 khách · 1 Phòng ngủ · 1 phòng tắm	990,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Seaholic Apartment	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Superior room with 2 double bed and balcony	4 khách · 1 Phòng ngủ · 1 phòng tắm	340,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Double beautiful room - Mr Duy Hostel Nha Trang	2 khách · 1 Phòng ngủ · 1 phòng tắm	280,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Amazing view with the mixed from ocean and city	4 khách · 2 Phòng ngủ · 2 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ hai phòng ngủ loại cơ bản	4 khách · 2 Phòng ngủ · 2 phòng tắm	572,400₫/đêm 636,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	SOHO Deluxe Seaview Apartment with Big Balcony (3 Bedrooms) 22	6 khách · 3 Phòng ngủ · 2 phòng tắm	850,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Coral House 2 - 12pax - R 2,3,4	12 khách · 3 Phòng ngủ · 3 phòng tắm	2,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 302	4 khách · 1 Phòng ngủ · 1 phòng tắm	780,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Coral House 2 - 18 pax - R1,2,3,4,5	16 khách · 5 Phòng ngủ · 5 phòng tắm	3,700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Central Holiday Apartment (2 bedrooms)	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 501	4 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Chin Hostel Nha Trang - Dorm xinh xắn 4 giường	4 khách · 1 Phòng ngủ · 3 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 502	4 khách · 1 Phòng ngủ · 1 phòng tắm	780,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Freelife Home & Apartment - 201 (Balcony)	2 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Freelife Home & Apartment - 202 (Studio)	6 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Freelife Home & Apartment - Lửng (Studio)	6 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	V3 Hostel - Phòng đôi tầng 2 - Seaview.1	4 khách · 1 Phòng ngủ · 1 phòng tắm	430,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	V3 Hostel - Phòng đôi tầng 2 - Seaview.2	4 khách · 1 Phòng ngủ · 1 phòng tắm	430,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ một buồng ngủ view biển	2 khách · 1 Phòng ngủ · 1 phòng tắm	754,200₫/đêm 838,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	THOA CHINH SEAVIEW Nha Trang Apartment 8.34	6 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Ana House - Deluxe Double bed with balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	390,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 601	4 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	P Homestay - Mini Studio - 2 giường	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Merci Home - Coral Room with balcony 401	3 khách · 1 Phòng ngủ · 1 phòng tắm	710,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	P Homestay - Mini Studio - Giường tầng lớn	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Merci Home - Gold Room 302	3 khách · 1 Phòng ngủ · 1 phòng tắm	480,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Merci Home - Gold Room 202	3 khách · 1 Phòng ngủ · 1 phòng tắm	480,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	V3 Hostel - Phòng đôi tầng 1 - p 102	4 khách · 1 Phòng ngủ · 1 phòng tắm	330,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Deluxe 1 507	2 khách · 1 Phòng ngủ · 1 phòng tắm	705,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Tee Dee - White Room with attic N.1	2 khách · 1 Phòng ngủ · 1 phòng tắm	480,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	Căn hộ Biển Nha Trang	7 khách · 2 Phòng ngủ · 2 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Fairy Bay 3* Luxury Suite double	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,145,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Anahomestay - Phòng đôi (WC ngoài)	4 khách · 1 Phòng ngủ · 1 phòng tắm	530,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Ta'or Homestay	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,250,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Bedtime.2D8 - Phòng gia đình 3 người - giường tầng - gần biển	3 khách · 1 Phòng ngủ · 1 phòng tắm	200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Balcony Deluxe , 2Pax, MR DUY HOSTEL NHA TRANG	2 khách · 1 Phòng ngủ · 1 phòng tắm	392,700₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ 2 phòng ngủ ô góc nhìn toàn cảnh trên cao	5 khách · 2 Phòng ngủ · 2 phòng tắm	857,966₫/đêm 953,296₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	S69 NhaTrang - 1 Bedroom - Moutain View - Share Bathroom	2 khách · 1 Phòng ngủ · 1 phòng tắm	300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	S69 NhaTrang - 1 Bedroom - Moutain View	2 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ hai giường view phố	5 khách · 1 Phòng ngủ · 1 phòng tắm	772,169₫/đêm 857,966₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Dương Dương - Sweet Home in Nha Trang - 1818	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Dương Dương - Sweet Home In Nha Trang - 1820	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ 2 phòng ngủ view thành phố	5 khách · 2 Phòng ngủ · 2 phòng tắm	965,212₫/đêm 1,072,458₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Blu One Awesome and very central studio #3	2 khách · 1 Phòng ngủ · 1 phòng tắm	990,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Blu One Awesome and very central studio #4	2 khách · 1 Phòng ngủ · 1 phòng tắm	990,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Blu One Cosy deluxe 1 bedroom apartment #2	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,090,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Blu One Cosy Deluxe 1 bedroom Apartment #3	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,090,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Blu One Cosy Deluxe 1 bedroom Apartment #4	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,090,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Nha Trang Cozy Beachfront Apartment	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ chung cư	LeNa Apartment 102	4 khách · 1 Phòng ngủ · 1 phòng tắm	780,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 201	4 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 202	4 khách · 1 Phòng ngủ · 1 phòng tắm	780,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 301	4 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	One Bedroom City View Apartment	2 khách · 1 Phòng ngủ · 1 phòng tắm	630,000₫/đêm 700,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 401	4 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 402	4 khách · 1 Phòng ngủ · 1 phòng tắm	780,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	SUPERIOR Apartment - 503	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Freelife Home & Apartment - 101 (Studio)	6 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Ana House - Superior 2 Single Beds City View	2 khách · 1 Phòng ngủ · 1 phòng tắm	350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	P Homestay - Mini Studio - 2 giường	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	P Homestay - Mini Studio - 2 giường đôi	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Merci Home - Coral Room with balcony 301	3 khách · 1 Phòng ngủ · 1 phòng tắm	710,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Merci Home - Coral Room with balcony 201	3 khách · 1 Phòng ngủ · 1 phòng tắm	710,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Merci Home - Coral Room with balcony 101	3 khách · 1 Phòng ngủ · 1 phòng tắm	710,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	V3 Hostel - Phòng đôi tầng 2 - Seaview.4	4 khách · 1 Phòng ngủ · 1 phòng tắm	430,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	V3 Hostel - Phòng đôi tầng 1 - 104	4 khách · 1 Phòng ngủ · 1 phòng tắm	330,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Merci Home - Purple Room (2beds) 303	4 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Deluxe 2 509	2 khách · 1 Phòng ngủ · 1 phòng tắm	705,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Home 1 bedroom with balcony	3 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Phi Yến Apartments - Studio with two beds, Seaview	6 khách · 1 Phòng ngủ · 1 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ 2 phòng ngủ view chéo biển LUXII	5 khách · 2 Phòng ngủ · 2 phòng tắm	857,966₫/đêm 953,296₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 101	4 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ hai giường view núi	4 khách · 1 Phòng ngủ · 1 phòng tắm	836,518₫/đêm 929,464₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	S69 NhaTrang - 1 Bedroom - Sea View	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	S69 NhaTrang - 1 Bedroom - Sea View with balcony	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Hoàng Long Apartment - 202	6 khách · 2 Phòng ngủ · 1 phòng tắm	825,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	MOONLIGHT HOUSE NHA TRANG - Room 301 superior	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	MOONLIGHT HOUSE NHA TRANG - Room 305 superior	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	MEGI HOMESTAY - SANDY 2 - private room for 2	3 khách · 1 Phòng ngủ · 1 phòng tắm	260,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	MEGI HOMESTAY - Ocean 1 - family room for 4	5 khách · 1 Phòng ngủ · 1 phòng tắm	385,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	MEGI HOMESTAY - WINDY 2 - private room for 2	3 khách · 1 Phòng ngủ · 1 phòng tắm	260,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	MEGI HOMESTAY - SANDY 1 - private room for 2	3 khách · 1 Phòng ngủ · 1 phòng tắm	260,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	MEGI HOMESTAY - Sunset 2 - private for 2	3 khách · 1 Phòng ngủ · 1 phòng tắm	290,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	MEGI HOMESTAY - Sunset 1 - private for 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	260,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	MEGI HOMESTAY - Sunrise 2 - private for 2	3 khách · 1 Phòng ngủ · 1 phòng tắm	290,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	MEGI HOMESTAY - Sunrise 1 - private for 2	3 khách · 1 Phòng ngủ · 1 phòng tắm	290,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	MEGI HOMESTAY - Ocean 2 - Family room for 4	5 khách · 1 Phòng ngủ · 1 phòng tắm	385,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Mường Thanh Quê Hương	芽庄市中心海景房 AMAZING Beachfront Tran Phu/SEA VIEW 2-BR	4 khách · 2 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	5* BEAUTIFUL/ BEACHFRONT /FANTASY View 2-BR-17.	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Papaya Homestay Nha Trang - Deluxe King Bed	2 khách · 1 Phòng ngủ · 1 phòng tắm	315,000₫/đêm 350,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	☼ À Ơi Indochine ☼ 2BRs flat in the heart of Nha Trang ☼ G3.5	6 khách · 2 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Nha Trang Mint Home Sea View 01	5 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	River & Seaview APT Central-04 Tran Phu - 31Floor	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Home Stay 4 phòng ngủ Nha Trang Vy House	9 khách · 4 Phòng ngủ · 5 phòng tắm	2,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ dịch vụ	Nha Trang Homestay - Premier 201	3 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Economic Clean Spacious 2BR Apart@ Beach&Pool View	4 khách · 2 Phòng ngủ · 2 phòng tắm	419,300₫/đêm 599,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Nha Trang Homestay - Deluxe 202	4 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	5* AMAZING/Beachfront/ FANTASY/ View 2-BR-30.	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	dCentre NhaTrang Beach-Apt 2BR Sea Side View(720)	6 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Căn hộ 2 phòng ngủ - 4 Giường tách biệt ngay trước biển	4 khách · 2 Phòng ngủ · 2 phòng tắm	489,300₫/đêm 699,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	❣️3 Beds 6 Person❣️ Apart viewed swimming pool	6 khách · 2 Phòng ngủ · 2 phòng tắm	559,300₫/đêm 799,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Budget@Clean 2BR Apartment@24H checkin/out	4 khách · 2 Phòng ngủ · 2 phòng tắm	489,300₫/đêm 699,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Charming 2 Bedroom Apartments & FREE MOTORBIKE @100m to the SEA	4 khách · 2 Phòng ngủ · 2 phòng tắm	483,000₫/đêm 690,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	River view apartment 01	4 khách · 2 Phòng ngủ · 2 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Jay Boutique 2 Bedroom Sea View Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	AQUA Seaview Hotel - Superior Seaview room	2 khách · 1 Phòng ngủ · 1 phòng tắm	391,400₫/đêm 412,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	Aqua Apartment Nha Trang	4 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Anahomestay - VIP	2 khách · 1 Phòng ngủ · 1 phòng tắm	590,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Mường Thanh Quê Hương	River view apartment 02	4 khách · 2 Phòng ngủ · 2 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Nha Trang Homestay - Premier 301	3 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Nha Trang Homestay - Deluxe 302	4 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Superior 301	2 khách · 1 Phòng ngủ · 1 phòng tắm	470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Deluxe 1 503	2 khách · 1 Phòng ngủ · 1 phòng tắm	705,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Deluxe 1 504	2 khách · 1 Phòng ngủ · 1 phòng tắm	705,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Deluxe 1 505	2 khách · 1 Phòng ngủ · 1 phòng tắm	705,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Deluxe 2 510	2 khách · 1 Phòng ngủ · 1 phòng tắm	705,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Anahomestay - Phòng đôi	4 khách · 1 Phòng ngủ · 1 phòng tắm	590,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Anahomestay - Phòng đơn	2 khách · 1 Phòng ngủ · 1 phòng tắm	420,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Deluxe 4 506	3 khách · 1 Phòng ngủ · 1 phòng tắm	870,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 1 303	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,060,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 1 304	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,060,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 1 307	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,060,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 1 403	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,060,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 1 404	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,060,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 1 405	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,060,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 1 407	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,060,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Cồn Tân Lập	Nha Trang Apartments Seaview	5 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Mường Thanh Grand Nha Trang	Nha Trang beachfront apartment, cheap price	5 khách · 2 Phòng ngủ · 2 phòng tắm	680,000₫/đêm 800,000₫	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Phòng giữa (202) - Yellow House Nha Trang	2 khách · 1 Phòng ngủ · 1 phòng tắm	390,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Nắng | 4-6 pax | Cách Biển 5 Phút Đi Bộ	6 khách · 2 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Mường Thanh Quê Hương	1AMAZING Beachfront Tran Phu/SEA VIEW 2-BR	4 khách · 2 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	☼ À Ơi Sunny ☼ 2BRs flat in the heart of Nha Trang ☼ G3.1	5 khách · 2 Phòng ngủ · 1 phòng tắm	854,700₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	64/NM. ANNIE's HOMESTAY [FULL HOME 16+]	16 khách · 4 Phòng ngủ · 5 phòng tắm	2,800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Biệt Thự	Garden House Nha Trang	17 khách · 4 Phòng ngủ · 5 phòng tắm	1,800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	VieSea Apartment	4 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
