Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Ly's Homestay	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Ginger Homestay_Phòng Dorm	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác	Ginger Homestay_Phòng 2 giường đơn	2 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Halo Bay Homestay R3	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,100,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	chuột homestay 2 Phòng ngủ No.1	5 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác · Vinhomes Dragon Bay	Deluxe ocean view	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,100,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Orestay Homestay & Coffee - Double with seaview room 02	2 khách · 1 Phòng ngủ · 1 phòng tắm	900,000₫/đêm	Hoành Bồ, Quảng Ninh, Vietnam	
Nhà riêng	Orestay Homestay & Coffee - Triple room with shared bathroom	3 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Hoành Bồ, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	Angela House - R5	6 khách · 2 Phòng ngủ · 2 phòng tắm	900,150₫/đêm 1,059,000₫	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Halo Bay Homestay R1	2 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	Biệt thự Little Vietnam 4 phòng ngủ lớn	16 khách · 4 Phòng ngủ · 4 phòng tắm	4,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	LABAY	12 khách · 6 Phòng ngủ · 6 phòng tắm	5,890,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	Zephyr Halong Homestay	10 khách · 4 Phòng ngủ · 4 phòng tắm	3,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Deja Vu 1 - Room 402	2 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	Sweet Host - Orestay Sky View Luxury/4BR	10 khách · 4 Phòng ngủ · 3 phòng tắm	7,900,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Chốn bồng lai tiên cảnh - Thiên đường hạ giới tại Hạ Long	12 khách · 4 Phòng ngủ · 3 phòng tắm	4,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Classic Homestay Halong 2	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	Homelead_The Sapphire Residence 2BR with city view	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác	Legacy Yen Tu - Deluxe Room 1 King Size Bed with Village View	2 khách · 1 Phòng ngủ · 1 phòng tắm	4,510,000₫/đêm	Uông Bí, Quảng Ninh, Vietnam	
Nhà riêng	Cô Tô Homestay Hà Lài - Phòng Đôi	6 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Cô Tô, Quảng Ninh, Vietnam	
Nhà riêng	Cô Tô Homestay Hà Lài - Phòng 3 Giường	9 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Cô Tô, Quảng Ninh, Vietnam	
Nhà riêng	Sky homestay - Twins Room with Balcony	4 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	HaLong Trendy Deluxe	2 khách · 1 Phòng ngủ · 1 phòng tắm	560,000₫/đêm 700,000₫	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	HaLong Trendy Superior	4 khách · 1 Phòng ngủ · 1 phòng tắm	360,000₫/đêm 450,000₫	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	Deluxe Love Bed With Bacony	2 khách · 1 Phòng ngủ · 1 phòng tắm	360,000₫/đêm 450,000₫	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	SeaView Apartment - Near sunworld park and Bai chay Beach - New life tower A 15F	6 khách · 3 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
